Date,Extent
1969-01,11.41299796976595
1969-02,11.4191798228297
1969-03,11.425309857530518
1969-04,11.431388237079988
1969-05,11.437415124689688
1969-06,11.443390683571199
1969-07,11.449315076936099
1969-08,11.455188467995972
1969-09,11.461011019962395
1969-10,11.46678289604695
1969-11,11.472504259461218
1969-12,11.478175273416776
1970-01,11.483796101125208
1970-02,11.48936690579809
1970-03,11.494887850647006
1970-04,11.500359098883534
1970-05,11.505780813719253
1970-06,11.511153158365747
1970-07,11.516476296034595
1970-08,11.521750389937374
1970-09,11.526975603285669
1970-10,11.532152099291055
1970-11,11.537280041165117
1970-12,11.542359592119432
1971-01,11.547390915365582
1971-02,11.552374174115146
1971-03,11.557309531579705
1971-04,11.562197150970839
1971-05,11.567037195500127
1971-06,11.571829828379151
1971-07,11.576575212819492
1971-08,11.581273512032727
1971-09,11.585924889230437
1971-10,11.590529507624204
1971-11,11.595087530425607
1971-12,11.599599120846227
1972-01,11.604064442097643
1972-02,11.608483657391435
1972-03,11.612856929939186
1972-04,11.617184422952473
1972-05,11.621466299642877
1972-06,11.625702723221979
1972-07,11.629893856901358
1972-08,11.634039863892596
1972-09,11.638140907407271
1972-10,11.642197150656965
1972-11,11.646208756853257
1972-12,11.650175889207729
1973-01,11.654098710931958
1973-02,11.657977385237528
1973-03,11.661812075336016
1973-04,11.665602944439003
1973-05,11.669350155758071
1973-06,11.673053872504797
1973-07,11.676714257890765
1973-08,11.680331475127552
1973-09,11.683905687426739
1973-10,11.687437057999908
1973-11,11.690925750058636
1973-12,11.694371926814506
1974-01,11.697775751479098
1974-02,11.701137387263989
1974-03,11.704456997380763
1974-04,11.707734745040998
1974-05,11.710970793456276
1974-06,11.714165305838176
1974-07,11.717318445398277
1974-08,11.720430375348162
1974-09,11.72350125889941
1974-10,11.726531259263599
1974-11,11.729520539652311
1974-12,11.732469263277128
1975-01,11.735377593349627
1975-02,11.73824569308139
1975-03,11.741073725683997
1975-04,11.743861854369028
1975-05,11.746610242348062
1975-06,11.749319052832682
1975-07,11.751988449034465
1975-08,11.754618594164995
1975-09,11.757209651435849
1975-10,11.759761784058608
1975-11,11.76227515524485
1975-12,11.764749928206161
1976-01,11.767186266154116
1976-02,11.769584332300298
1976-03,11.771944289856284
1976-04,11.774266302033658
1976-05,11.776550532043998
1976-06,11.778797143098885
1976-07,11.781006298409899
1976-08,11.78317816118862
1976-09,11.785312894646626
1976-10,11.787410661995501
1976-11,11.789471626446824
1976-12,11.791495951212175
1977-01,11.793483799503134
1977-02,11.79543533453128
1977-03,11.797350719508195
1977-04,11.79923011764546
1977-05,11.80107369215465
1977-06,11.802881606247352
1977-07,11.804654023135143
1977-08,11.806391106029603
1977-09,11.808093018142312
1977-10,11.80975992268485
1977-11,11.8113919828688
1977-12,11.81298936190574
1978-01,11.814552223007247
1978-02,11.816080729384907
1978-03,11.817575044250297
1978-04,11.819035330814998
1978-05,11.82046175229059
1978-06,11.821854471888653
1978-07,11.823213652820767
1978-08,11.824539458298513
1978-09,11.825832051533473
1978-10,14.050833333333335
1978-11,13.770766666666667
1978-12,12.03115625
1979-01,10.4081
1979-02,9.65817857142857
1979-03,10.170625000000001
1979-04,11.466166666666668
1979-05,12.341766666666667
1979-06,13.3585
1979-07,13.4140625
1979-08,12.869666666666665
1979-09,12.623333333333333
1979-10,13.284218749999999
1979-11,13.140066666666666
1979-12,11.286033333333334
1980-01,9.7119375
1980-02,9.386750000000001
1980-03,9.66809375
1980-04,10.417033333333334
1980-05,11.324633333333333
1980-06,12.347433333333333
1980-07,12.83225
1980-08,12.894933333333334
1980-09,13.242166666666666
1980-10,13.8753125
1980-11,13.758000000000001
1980-12,11.874400000000001
1981-01,9.66078125
1981-02,9.238785714285713
1981-03,9.511533333333334
1981-04,10.4242
1981-05,11.578125
1981-06,12.769133333333334
1981-07,13.154866666666667
1981-08,12.79040625
1981-09,12.867466666666667
1981-10,13.575
1981-11,13.520166666666666
1981-12,12.11796875
1982-01,10.2184
1982-02,9.551
1982-03,10.16584375
1982-04,11.594466666666667
1982-05,12.365766666666667
1982-06,12.9464
1982-07,13.119625
1982-08,12.964366666666667
1982-09,12.827599999999999
1982-10,13.60471875
1982-11,13.582033333333333
1982-12,11.428733333333334
1983-01,9.85646875
1983-02,9.538214285714286
1983-03,10.050466666666667
1983-04,10.821233333333334
1983-05,11.50865625
1983-06,12.469133333333334
1983-07,13.018466666666665
1983-08,12.71834375
1983-09,12.9899
1983-10,13.624699999999999
1983-11,13.737599999999999
1983-12,11.84615625
1984-01,9.625966666666667
1984-02,8.988100000000001
1984-03,9.598266666666666
1984-04,10.718233333333334
1984-05,11.6625625
1984-06,12.691066666666666
1984-07,13.186200000000001
1984-08,12.849375
1984-09,12.488333333333333
1984-10,13.0666
1984-11,13.487766666666666
1984-12,11.73121875
1985-01,9.590133333333334
1985-02,9.151071428571429
1985-03,9.8015625
1985-04,10.924866666666667
1985-05,12.113100000000001
1985-06,12.8238
1985-07,12.73275
1985-08,12.517033333333334
1985-09,12.700433333333335
1985-10,13.3751875
1985-11,13.582366666666667
1985-12,12.201066666666666
1986-01,10.1559375
1986-02,9.489
1986-03,9.803933333333333
1986-04,10.722166666666668
1986-05,11.33759375
1986-06,12.331466666666667
1986-07,12.731633333333333
1986-08,12.4891875
1986-09,12.546899999999999
1986-10,13.333833333333333
1986-11,13.229933333333333
1986-12,11.4381875
1987-01,10.0479
1987-02,9.651928571428572
1987-03,9.96434375
1987-04,11.0039
1987-05,11.7185
1987-06,12.585
1987-07,13.0420625
