Date,WaterTemp,O2ml
1959-08,16.95,4.21
1969-01,13.265,5.595
1969-02,12.38,5.71
1969-03,15.535,5.49
1969-04,12.07,5.3125
1969-05,12.12,5.945
1969-06,13.7025,5.2425
1969-07,12.965,5.44
1969-08,10.829999999999998,4.5275
1969-09,14.7725,5.265000000000001
1969-10,14.7375,5.2125
1969-11,17.29,4.98
1969-12,14.0275,5.195
1970-08,9.1875,5.0875
1970-09,14.38,5.27
1970-10,14.530000000000001,5.235
1971-02,10.114999999999998,6.15
1971-03,13.985,5.859999999999999
1971-04,11.95,3.365
1972-01,12.1275,5.015000000000001
1972-02,12.2725,4.7175
1972-03,11.69,4.7575
1972-04,14.815,5.675
1972-05,11.82,5.55
1972-06,13.42,4.7
1972-07,11.415,5.275
1972-09,12.192499999999999,5.145
1972-10,13.395,5.385
1972-11,14.0,4.960000000000001
1974-04,14.16,2.775
1974-05,14.1725,2.735
1974-10,18.875,2.325
1974-11,15.43,2.36
1976-02,11.305,4.8825
1977-12,12.83,5.3
1978-01,12.355,5.2124999999999995
1978-02,13.4,5.45
1978-03,13.14,5.2
1978-04,11.41,4.75
1978-05,10.28,4.96
1978-06,14.035,5.63
1978-07,12.54,5.72
1978-08,12.48,5.295
1981-05,12.3,5.145
1981-06,13.92,5.5125
1983-01,15.2275,5.6975
1983-03,14.01,4.842499999999999
1983-04,13.877500000000001,5.1425
1983-05,11.1,3.315
1983-06,10.82,3.5100000000000002
1983-07,13.19,4.96
1983-08,13.57,5.21
1983-09,13.265,5.16
1983-10,13.65,5.29
1983-11,13.125,5.0275
1983-12,13.41,5.23
1984-01,13.35,5.43
1984-02,13.455,5.59
1984-03,14.4675,5.75
1984-04,11.8875,5.3774999999999995
1984-05,11.71,5.74
1984-06,12.88,5.38
1984-07,13.225000000000001,5.34
1984-10,12.594999999999999,5.327500000000001
1984-11,15.415,5.43
1985-02,12.51,5.41
1985-03,12.254999999999999,5.73
1985-04,14.62,5.955
1985-05,12.535,5.7925
1985-08,12.155000000000001,5.48
1985-11,12.682500000000001,5.345
1986-02,13.085,5.76
1986-03,11.88,4.92
1986-05,12.455,5.4399999999999995
1986-09,12.26,5.35
1986-10,11.6275,4.5325
1986-11,13.06,5.475
1987-03,13.2775,5.56
1987-04,10.094999999999999,5.58
1987-05,11.405000000000001,5.18
1987-09,13.55,5.44
1987-11,13.87,5.5
1988-01,13.13,5.68
1988-02,11.78,5.75
1988-04,13.47,5.205
1988-05,11.32,4.11
1988-08,13.11,5.46
1988-09,17.18,5.52
1988-10,12.190000000000001,5.1675
1989-01,11.8925,5.59
1989-02,11.12,5.18
1989-04,11.03,5.157500000000001
1989-07,12.370000000000001,5.535
1989-08,11.455,5.475
1989-11,12.965,5.44
1990-03,12.235,5.4925
1990-04,12.129999999999999,5.3
1990-07,13.12,5.45
1990-08,12.48,5.449999999999999
1990-11,13.32,5.5
1991-01,13.605,5.765
1991-02,13.524999999999999,5.605
1991-03,13.14,5.619999999999999
1991-07,11.565000000000001,4.885
1991-08,11.9825,5.3325000000000005
1991-09,13.48,5.455
1991-10,12.865,5.535
1992-01,14.375,5.5625
1992-02,12.8225,5.67
1992-04,13.6425,5.725
1992-07,12.059999999999999,5.49
1992-09,16.235,5.45
1992-10,13.42,5.31
1993-01,13.945,5.5775
1993-03,12.1125,4.555000000000001
1993-04,13.42,5.7
1993-08,13.295,5.4350000000000005
1993-10,13.525,5.415
1994-01,14.190000000000001,5.605
1994-02,13.04,5.35
1994-03,13.25,5.4475
1994-04,13.2,5.725
1994-08,12.925,5.415
1994-09,12.75,4.75
1994-10,12.9575,5.345000000000001
1995-01,13.7075,5.6775
1995-04,13.07,5.23
1995-07,11.735,5.34
1995-10,12.012500000000001,4.945
1996-01,11.93,4.290000000000001
1996-02,13.26,5.54
1996-04,13.030000000000001,5.59
1996-05,9.92,3.5
1996-08,13.25,5.3149999999999995
1996-10,14.425,5.56
1996-11,12.51,5.12
1997-01,12.83,5.15
1997-02,12.66,5.67
1997-04,12.065000000000001,5.300000000000001
1997-07,12.149999999999999,5.04
1997-09,14.0,5.235
1997-10,14.18,5.43
1997-12,17.395,5.484999999999999
1998-01,15.88,5.55
1998-02,15.19,5.595
1998-04,13.809999999999999,5.61
1998-07,12.8825,4.96
1998-09,13.4925,5.2325
1999-01,12.58,5.07
1999-04,11.52,5.59
1999-08,12.19,5.11
1999-10,12.129999999999999,5.140000000000001
2000-01,11.89,5.33
2000-04,11.79,5.3975
2000-06,10.8975,4.1925
2000-07,11.955,5.55
2000-10,12.114999999999998,5.13
2001-01,12.72,5.55
2001-04,11.71,5.3425
2001-07,11.219999999999999,5.02
2001-10,11.86,4.8
2001-11,11.9975,5.362500000000001
2002-01,12.774999999999999,5.2
2002-02,11.68,5.734999999999999
2002-03,11.907499999999999,5.0024999999999995
2002-04,11.52,5.33
2002-07,11.16,4.955
2002-11,12.02,5.55
2003-01,13.0225,4.98
2003-02,12.59,5.57
2003-04,12.0125,5.495
2003-07,11.7575,4.9399999999999995
2003-10,12.265,5.215
2003-11,11.12,4.34
2004-01,12.66,5.515000000000001
2004-03,12.36,5.5
2004-04,12.3225,5.3149999999999995
2004-07,10.787500000000001,4.4325
2004-11,11.67,4.975
2005-01,13.25,5.4399999999999995
2005-04,12.795,5.635
2005-05,14.09,6.06
2005-07,11.805,5.04
2005-11,12.760000000000002,4.91
2006-02,12.74,5.32
2006-04,12.315,5.27
2006-07,13.2,5.14
2006-10,13.344999999999999,5.26
2006-11,13.31,5.51
2007-01,13.07,5.425
2007-02,11.735,5.77
2007-03,12.55,4.8375
2007-04,12.655000000000001,5.71
2007-06,12.135,5.205
2007-07,12.245000000000001,5.28
2007-11,11.8,4.62
2008-01,11.8,5.43
2008-03,12.175,5.76
2008-04,10.55,5.2
2008-08,11.925,5.3
2008-10,12.4,5.44
2009-01,12.372499999999999,5.4775
2009-03,12.36,5.63
2009-07,11.385000000000002,5.095
2009-08,11.2,5.76
2009-11,12.375,5.404999999999999
2010-01,13.815000000000001,5.64
2010-02,11.42,5.31
2010-04,14.3975,5.755000000000001
2010-05,12.0,5.525
2010-07,11.745000000000001,5.0825
2010-08,10.870000000000001,4.555
2010-10,14.417499999999999,5.525
2010-11,12.1125,4.9675
2011-01,11.665,5.34
2011-04,12.22,5.585000000000001
2011-07,13.165,5.5
2011-08,11.805,5.0925
2011-10,12.4175,5.0675
2011-11,10.81,4.01
2012-01,12.7925,5.17
2012-02,12.16,5.41
2012-03,11.75,5.46
2012-04,10.66,4.99
2012-07,11.465,4.88
2012-10,13.1715,5.429
2012-11,11.872,5.278
2013-01,11.959,5.323
2013-04,11.393,5.003
2013-07,11.90525,5.2245
2013-11,12.496500000000001,5.381
2014-01,13.628,5.272
2014-02,13.024,5.3335
2014-03,15.747,5.739
2014-04,12.275500000000001,5.4285000000000005
2014-07,13.055499999999999,5.3865
2014-11,14.12825,5.31775
2015-01,14.048,5.538
2015-02,11.247,4.91775
2015-04,13.038499999999999,5.3185
2015-07,13.003250000000001,5.327999999999999
2015-10,15.775500000000001,5.2245
2015-11,13.65075,5.32025
2016-01,14.685749999999999,5.5145
